Linie_Angle,Error_Count,Percentage_of_Total_Shared_Errors
0,31,10.16
1,32,10.49
2,28,9.18
3,27,8.85
4,29,9.51
5,26,8.52
6,31,10.16
7,32,10.49
8,31,10.16
9,38,12.46
