y_true,"(0.10099999999999999, 0.122]","(0.122, 0.124]","(0.124, 0.127]","(0.127, 0.135]","(0.135, 0.147]","(0.147, 0.167]","(0.167, 0.195]","(0.195, 0.204]","(0.204, 0.38]"
"(0.079, 0.1]",121,17,70,12,14,4,1,0,1
"(0.1, 0.11]",54,3,87,38,14,0,2,2,0
"(0.11, 0.12]",50,1,67,58,19,12,12,0,1
"(0.12, 0.13]",49,11,89,42,31,15,12,1,0
"(0.13, 0.14]",21,0,25,34,22,33,39,0,6
"(0.14, 0.15]",15,0,16,16,12,29,22,26,14
"(0.15, 0.18]",4,0,20,17,4,50,48,27,20
"(0.18, 0.24]",0,0,2,5,5,6,21,56,25
"(0.24, 0.38]",4,0,0,7,4,16,29,16,84
